id,candidate_id,job_id,match_score,status
162,63,1725,90,Technical Test
163,63,1331,94,Technical Test
164,63,652,73,Rejected
165,64,715,79,Technical Test
166,64,1618,66,Rejected
167,65,1776,78,Technical Test
168,65,1342,94,Interviewing
169,66,117,96,Interviewing
170,66,148,69,Applied
171,66,2043,80,Rejected
172,67,1531,74,Offered
173,67,475,68,Rejected
174,67,1941,90,Offered
175,68,552,76,Interviewing
176,68,1906,61,Applied
177,68,1835,87,Applied
178,68,638,61,Technical Test
179,69,1942,92,Technical Test
180,69,2078,99,Rejected
181,69,485,75,Interviewing
182,70,161,65,Rejected
183,70,1172,93,Technical Test
184,70,1161,60,Technical Test
185,70,1302,62,Applied
186,71,1030,79,Offered
187,71,1998,85,Rejected
188,71,125,61,Offered
189,71,574,82,Rejected
190,72,240,99,Applied
191,72,2035,89,Interviewing
192,73,541,86,Technical Test
193,74,1640,97,Technical Test
194,74,952,75,Rejected
195,74,1954,91,Offered
196,74,254,76,Applied
197,75,929,87,Rejected
198,76,516,99,Interviewing
199,76,1631,67,Offered
200,77,644,71,Interviewing
201,77,1205,62,Interviewing
202,77,1344,99,Applied
203,78,1502,80,Applied
204,78,791,98,Technical Test
205,78,1429,68,Offered
206,79,1603,94,Offered
207,79,2100,83,Technical Test
208,80,1822,80,Rejected
209,80,675,72,Offered
210,80,1536,70,Offered
211,80,504,68,Rejected
212,81,1907,81,Rejected
213,81,665,96,Applied
214,81,1568,61,Rejected
215,81,883,78,Offered
216,82,1193,64,Applied
217,82,1952,74,Rejected
218,82,191,98,Interviewing
219,82,471,83,Rejected
220,83,1201,79,Technical Test
221,84,367,80,Offered
222,85,1737,81,Technical Test
223,85,855,60,Interviewing
224,85,1937,93,Interviewing
225,85,1969,62,Offered
226,86,1122,92,Technical Test
227,86,1991,92,Applied
228,86,426,75,Interviewing
229,86,603,85,Interviewing
230,87,442,69,Applied
231,87,947,87,Applied
232,87,1468,84,Technical Test
233,88,1450,93,Interviewing
234,88,987,95,Interviewing
235,88,25,89,Offered
236,89,151,68,Applied
237,90,1722,93,Rejected
238,91,1621,72,Applied
239,91,449,100,Offered
240,91,516,89,Interviewing
241,91,1360,80,Technical Test
242,92,1633,100,Interviewing
243,93,948,70,Interviewing
244,93,756,94,Technical Test
245,93,510,91,Applied
246,94,216,76,Rejected
247,95,1322,64,Offered
248,96,1690,80,Interviewing
249,96,538,78,Rejected
250,96,921,60,Interviewing
251,97,1573,68,Rejected
252,97,321,94,Interviewing
253,97,345,75,Interviewing
254,98,352,68,Interviewing
255,98,447,79,Interviewing
256,98,94,87,Applied
257,99,1525,84,Offered
258,99,228,80,Interviewing
259,99,1350,60,Offered
260,100,240,77,Rejected
261,100,1479,85,Rejected
262,100,1132,61,Applied
263,101,590,62,Interviewing
264,101,1599,90,Offered
265,101,391,62,Offered
266,101,1266,99,Technical Test
267,102,1972,89,Interviewing
268,102,2059,64,Technical Test
269,102,1762,74,Offered
270,102,525,73,Applied
271,103,168,77,Rejected
272,103,1789,92,Technical Test
273,103,1444,66,Interviewing
274,104,1575,61,Applied
275,104,1291,92,Applied
276,104,382,92,Technical Test
277,104,1538,74,Technical Test
278,105,1779,95,Rejected
279,106,1354,63,Applied
280,106,702,61,Interviewing
281,106,2065,68,Rejected
282,107,852,65,Applied
283,107,777,90,Applied
284,107,1669,72,Offered
285,108,535,97,Offered
286,108,1842,90,Rejected
287,108,1528,93,Technical Test
288,108,1902,95,Rejected
289,109,519,60,Technical Test
290,110,1430,67,Technical Test
291,111,776,100,Applied
292,111,1868,93,Interviewing
293,111,78,84,Offered
294,112,1536,74,Offered
295,112,2095,68,Technical Test
296,113,1642,66,Offered
297,113,1965,77,Offered
298,114,2072,63,Rejected
299,114,1802,69,Technical Test
300,114,1146,90,Applied
301,115,1578,100,Offered
302,115,808,82,Interviewing
303,115,310,86,Interviewing
304,115,1509,79,Technical Test
305,116,866,98,Applied
306,116,921,92,Interviewing
307,117,1971,96,Rejected
308,117,1105,71,Rejected
309,117,387,74,Applied
310,118,793,90,Technical Test
311,118,1477,89,Applied
312,118,506,87,Rejected
313,119,1527,88,Technical Test
314,119,348,69,Rejected
315,119,898,89,Rejected
316,120,1303,84,Technical Test
317,120,543,85,Rejected
318,120,312,69,Applied
319,121,125,91,Applied
320,121,1369,86,Technical Test
321,121,912,94,Rejected
322,122,263,93,Interviewing
323,122,247,65,Applied
324,123,1566,91,Technical Test
325,124,481,63,Interviewing
326,124,1893,87,Interviewing
327,125,527,69,Technical Test
328,125,917,63,Rejected
329,125,717,61,Applied
330,125,240,85,Offered
331,126,52,63,Interviewing
332,126,1347,60,Interviewing
333,126,656,63,Offered
334,126,1228,68,Interviewing
335,127,1629,76,Applied
336,127,2051,70,Interviewing
337,127,1194,88,Interviewing
338,128,1759,69,Interviewing
339,128,1530,64,Applied
340,129,1642,79,Applied
341,129,1483,75,Technical Test
342,129,95,98,Rejected
343,130,1387,99,Rejected
344,131,328,63,Offered
345,131,646,73,Technical Test
346,131,1084,77,Offered
347,131,571,75,Interviewing
348,132,1848,62,Offered
349,132,1690,90,Technical Test
350,133,1366,79,Interviewing
351,133,315,96,Applied
352,133,393,94,Interviewing
353,133,620,90,Technical Test
354,134,471,82,Interviewing
355,134,662,91,Technical Test
356,134,397,93,Technical Test
357,134,1122,100,Applied
358,135,255,100,Offered
359,135,1043,86,Interviewing
360,135,1881,81,Interviewing
361,135,690,94,Applied
362,136,294,77,Technical Test
363,137,1679,93,Technical Test
364,137,1818,92,Rejected
365,138,1947,89,Applied
366,138,1117,85,Technical Test
367,139,531,62,Rejected
368,139,1894,65,Rejected
369,139,929,78,Rejected
370,140,2050,84,Technical Test
371,140,1579,89,Rejected
372,141,1584,78,Technical Test
373,141,1869,76,Rejected
374,142,1566,81,Offered
375,143,1146,65,Offered
376,144,993,88,Interviewing
377,144,1352,71,Interviewing
378,144,1353,75,Rejected
379,145,1830,64,Rejected
380,146,1913,72,Rejected
381,146,947,77,Interviewing
382,146,665,87,Rejected
383,147,1043,63,Interviewing
384,148,565,74,Technical Test
385,148,562,95,Interviewing
386,148,619,64,Offered
387,149,1896,61,Offered
388,149,61,69,Technical Test
389,149,1131,80,Rejected
390,149,1628,79,Applied
391,150,1769,61,Offered
392,151,721,69,Interviewing
393,152,485,64,Technical Test
394,153,510,60,Technical Test
395,154,10,71,Rejected
396,154,414,87,Applied
397,154,2090,79,Technical Test
398,154,764,100,Rejected
399,155,905,69,Offered
400,155,1732,71,Applied
401,155,1243,69,Interviewing
402,156,377,99,Applied
403,156,1033,60,Offered
404,156,982,79,Technical Test
405,157,1676,65,Applied
406,157,1476,76,Rejected
407,157,1199,68,Applied
408,158,1391,98,Offered
409,159,1472,88,Offered
410,159,1199,76,Rejected
411,159,897,83,Offered
412,159,950,85,Rejected
413,160,1429,98,Interviewing
414,160,918,87,Offered
415,160,1100,86,Technical Test
416,161,1549,79,Technical Test
417,162,762,95,Applied
418,162,171,93,Applied
419,163,975,69,Rejected
420,163,384,71,Applied
421,163,586,95,Technical Test
422,164,184,78,Offered
423,165,1096,71,Applied
424,166,1667,85,Interviewing
425,166,1719,67,Technical Test
426,166,956,93,Applied
427,166,1696,67,Offered
428,167,704,77,Rejected
429,168,1256,96,Technical Test
430,168,1440,93,Rejected
431,169,889,68,Interviewing
432,170,1029,83,Applied
433,170,2058,94,Rejected
434,171,1889,98,Technical Test
435,171,2023,66,Rejected
436,171,1557,92,Applied
437,172,1409,66,Interviewing
438,172,308,73,Technical Test
439,172,914,96,Interviewing
440,172,1227,65,Rejected
441,173,95,78,Interviewing
442,173,1953,69,Technical Test
443,174,3,82,Offered
444,174,467,96,Offered
445,175,1521,93,Applied
446,175,1249,89,Offered
447,175,1037,66,Technical Test
448,176,1499,89,Technical Test
449,176,1109,62,Applied
450,177,1079,88,Technical Test
451,177,559,64,Applied
452,177,704,64,Technical Test
453,178,438,86,Offered
454,178,855,72,Applied
455,179,1786,79,Rejected
456,180,1206,66,Offered
457,181,63,83,Technical Test
458,182,1436,70,Offered
459,182,1071,98,Technical Test
460,182,873,100,Technical Test
461,183,86,96,Applied
462,184,1120,93,Offered
463,185,1702,87,Applied
464,185,1339,65,Rejected
465,186,1470,85,Offered
466,187,1503,85,Rejected
467,188,2032,62,Rejected
468,188,1293,81,Rejected
469,189,2044,63,Technical Test
470,189,288,68,Rejected
471,190,934,61,Offered
472,190,375,84,Technical Test
473,190,1880,71,Offered
474,191,1003,77,Interviewing
475,191,326,83,Technical Test
476,191,1478,82,Technical Test
477,191,811,93,Applied
478,192,1421,91,Interviewing
479,192,1824,100,Interviewing
480,193,285,80,Interviewing
481,193,251,84,Technical Test
482,193,943,99,Interviewing
483,193,1630,84,Interviewing
484,194,2040,97,Applied
485,194,1091,96,Rejected
486,194,92,65,Applied
487,194,1013,74,Applied
488,195,232,91,Rejected
489,196,991,73,Interviewing
490,196,1626,98,Applied
491,197,1067,95,Offered
492,197,176,64,Interviewing
493,198,2037,71,Rejected
494,198,629,69,Technical Test
495,198,190,97,Rejected
496,199,1239,91,Offered
497,199,1918,72,Interviewing
498,200,1241,78,Offered
499,200,316,66,Technical Test
500,201,1900,83,Interviewing
501,202,78,74,Rejected
502,203,563,86,Interviewing
503,203,3,81,Rejected
504,204,1119,82,Interviewing
505,204,316,61,Offered
506,204,1808,63,Interviewing
507,205,1830,82,Technical Test
508,205,809,95,Interviewing
509,206,569,63,Technical Test
510,206,1423,95,Offered
511,206,1296,66,Interviewing
512,207,1992,75,Interviewing
513,207,544,65,Rejected
514,207,1953,61,Offered
515,207,1672,98,Rejected
516,208,828,96,Interviewing
517,209,1853,61,Rejected
518,209,1687,83,Offered
519,209,1023,82,Interviewing
520,209,6,67,Applied
521,210,848,77,Rejected
522,210,1613,71,Offered
523,211,799,70,Applied
524,211,1642,61,Interviewing
525,212,127,64,Applied
526,213,1371,60,Technical Test
527,214,1528,79,Applied
528,214,2021,81,Rejected
529,214,1716,87,Technical Test
530,214,62,96,Technical Test
531,215,125,76,Rejected
532,215,497,100,Applied
533,215,1399,64,Technical Test
534,215,970,91,Offered
535,216,140,75,Interviewing
536,217,430,68,Offered
537,217,801,68,Offered
538,218,1538,78,Offered
539,218,1498,97,Interviewing
540,219,1843,61,Applied
541,219,734,74,Offered
542,220,1316,64,Technical Test
543,220,101,70,Offered
544,221,630,77,Offered
545,221,2083,72,Technical Test
546,222,1546,85,Applied
547,223,1971,72,Rejected
548,223,664,73,Interviewing
549,223,944,97,Offered
550,223,507,85,Offered
551,224,577,82,Technical Test
552,225,1966,66,Offered
553,225,633,85,Offered
554,225,2005,76,Rejected
555,226,1730,61,Applied
556,226,517,64,Interviewing
557,226,18,92,Interviewing
558,226,479,66,Interviewing
559,227,1065,68,Technical Test
560,227,112,84,Applied
561,228,1875,82,Applied
562,228,853,72,Applied
563,228,649,87,Interviewing
564,228,1907,80,Technical Test
565,229,219,76,Applied
566,230,164,85,Technical Test
567,230,1469,75,Rejected
568,231,2043,75,Technical Test
569,231,52,64,Applied
570,231,1647,97,Technical Test
571,232,1419,76,Applied
572,232,1125,100,Applied
573,232,117,82,Rejected
574,233,1637,77,Interviewing
575,233,965,61,Offered
576,233,2086,70,Applied
577,233,1126,83,Offered
578,234,1362,85,Rejected
579,234,1940,79,Interviewing
580,235,274,81,Offered
581,235,720,91,Technical Test
582,235,1161,97,Applied
583,235,957,88,Rejected
584,236,1395,98,Offered
585,236,1202,97,Rejected
586,236,2091,95,Offered
587,236,1742,75,Interviewing
588,237,1271,65,Interviewing
589,237,2092,76,Applied
590,238,1010,75,Technical Test
591,239,1891,96,Interviewing
592,239,332,68,Applied
593,239,775,89,Applied
594,239,1489,97,Applied
595,240,1448,69,Applied
596,241,820,60,Interviewing
597,241,1393,80,Offered
598,242,1319,87,Rejected
599,243,1537,75,Rejected
600,243,680,86,Interviewing
601,243,849,74,Interviewing
602,244,1506,61,Rejected
603,244,1665,83,Offered
604,244,1896,66,Technical Test
605,245,430,88,Offered
606,245,276,69,Technical Test
607,245,162,73,Applied
608,246,686,67,Applied
609,246,904,72,Applied
610,246,1342,78,Interviewing
611,246,1924,78,Applied
612,247,718,92,Interviewing
613,247,1805,65,Technical Test
614,247,742,99,Offered
615,247,1155,75,Technical Test
616,248,979,74,Rejected
617,248,1785,81,Applied
618,248,1588,67,Applied
619,248,1713,67,Rejected
620,249,1997,93,Applied
621,249,1410,67,Rejected
622,249,1656,80,Offered
623,249,262,93,Applied
624,250,1535,65,Offered
625,250,1067,62,Rejected
626,250,1832,91,Applied
627,251,1661,82,Interviewing
628,251,1606,82,Offered
629,251,537,66,Applied
630,251,1918,89,Technical Test
631,252,1257,77,Technical Test
632,252,461,65,Technical Test
633,252,36,81,Technical Test
634,253,233,81,Technical Test
635,253,1763,65,Interviewing
636,253,410,77,Applied
637,253,261,71,Offered
638,254,1134,87,Rejected
639,254,97,63,Applied
640,255,1904,79,Rejected
641,255,184,84,Interviewing
642,255,810,83,Technical Test
643,256,1990,87,Rejected
644,256,446,96,Technical Test
645,257,978,90,Rejected
646,257,648,68,Applied
647,257,1162,76,Offered
648,257,1931,76,Interviewing
649,258,1514,87,Rejected
650,259,477,93,Technical Test
651,260,611,83,Rejected
652,260,2002,96,Interviewing
653,260,742,65,Interviewing
654,261,850,73,Technical Test
655,262,206,61,Applied
656,262,907,83,Applied
657,262,914,83,Rejected
658,262,1063,80,Interviewing
659,263,1617,72,Interviewing
660,263,1210,68,Technical Test
661,264,584,90,Interviewing
662,264,1849,83,Offered
663,265,1864,62,Offered
664,265,700,70,Technical Test
665,265,806,92,Offered
666,265,1382,100,Interviewing
667,266,1472,93,Applied
668,266,11,79,Applied
669,267,704,71,Interviewing
670,267,1607,95,Applied
671,267,774,97,Applied
672,267,182,96,Applied
673,268,1125,89,Interviewing
674,268,1010,74,Technical Test
675,268,8,91,Interviewing
676,268,911,84,Rejected
677,269,527,75,Offered
678,269,1911,89,Interviewing
679,270,1126,60,Rejected
680,271,348,78,Applied
681,272,1814,60,Interviewing
682,272,258,76,Offered
683,272,90,80,Applied
684,273,963,77,Rejected
685,273,1202,64,Technical Test
686,273,1645,64,Interviewing
687,273,289,67,Rejected
688,274,507,76,Technical Test
689,274,719,96,Offered
690,274,483,71,Interviewing
691,274,461,86,Rejected
692,275,192,69,Applied
693,275,1155,77,Offered
694,275,2018,91,Technical Test
695,276,1825,82,Technical Test
696,276,585,62,Offered
697,276,1112,88,Applied
698,276,1819,82,Applied
699,277,1702,66,Applied
700,278,1709,76,Rejected
701,278,994,64,Offered
702,278,1469,91,Applied
703,279,1392,92,Applied
704,279,171,86,Interviewing
705,280,1051,68,Rejected
706,280,460,62,Interviewing
707,281,171,96,Technical Test
708,281,1029,92,Interviewing
709,282,1306,64,Applied
710,282,1355,93,Offered
711,282,2094,67,Rejected
712,283,845,92,Interviewing
713,283,1371,62,Applied
714,283,1487,99,Rejected
715,283,1095,80,Applied
716,284,986,67,Rejected
717,284,1119,71,Interviewing
718,284,790,81,Technical Test
719,285,409,72,Rejected
720,285,535,96,Offered
721,285,1665,73,Technical Test
722,285,1666,90,Interviewing
723,286,1825,81,Rejected
724,287,1425,70,Applied
725,287,1920,65,Applied
726,287,1863,98,Rejected
727,288,1944,81,Interviewing
728,288,967,61,Rejected
729,289,1506,90,Applied
730,289,590,85,Offered
731,289,1224,87,Interviewing
732,289,1960,86,Rejected
733,290,8,69,Technical Test
734,290,699,81,Interviewing
735,291,596,63,Rejected
736,291,1859,90,Interviewing
737,292,890,79,Interviewing
738,293,460,72,Applied
739,293,282,67,Rejected
740,293,1995,64,Rejected
741,293,761,100,Interviewing
742,294,695,78,Offered
743,294,1858,61,Rejected
744,294,1058,90,Applied
745,295,444,92,Rejected
746,295,487,86,Applied
747,296,1972,75,Offered
748,296,1202,79,Rejected
749,296,1470,88,Rejected
750,297,1226,82,Technical Test
751,297,225,89,Rejected
752,297,1167,98,Interviewing
753,297,995,98,Technical Test
754,298,717,96,Offered
755,299,1834,92,Rejected
756,299,1129,85,Interviewing
757,299,551,80,Rejected
758,299,1781,76,Technical Test
759,300,75,70,Interviewing
760,300,304,63,Interviewing
761,300,429,66,Applied
762,300,363,94,Technical Test
763,301,1002,96,Applied
764,301,900,83,Rejected
765,301,1647,75,Applied
766,301,305,72,Applied
767,302,345,98,Rejected
768,302,1888,69,Applied
769,303,2060,93,Applied
770,303,1725,88,Rejected
771,303,694,60,Technical Test
772,303,1074,84,Offered
773,304,578,60,Offered
774,304,1985,68,Offered
775,304,733,92,Rejected
776,305,22,60,Technical Test
777,305,496,96,Offered
778,306,22,76,Rejected
779,306,434,81,Rejected
780,306,1897,64,Applied
781,306,1450,67,Applied
782,307,1186,89,Interviewing
783,308,158,74,Interviewing
784,308,1031,73,Interviewing
785,308,137,86,Offered
786,309,57,90,Applied
787,309,479,92,Interviewing
788,309,1096,87,Offered
789,309,303,73,Rejected
790,310,639,61,Applied
791,311,111,69,Offered
792,311,804,91,Applied
793,311,1075,94,Technical Test
794,312,1114,63,Applied
795,312,890,61,Applied
796,312,199,90,Technical Test
797,312,743,69,Interviewing
798,313,2048,88,Interviewing
799,313,135,99,Offered
800,313,771,85,Applied
801,313,1993,91,Technical Test
802,314,1251,98,Rejected
803,314,1866,79,Rejected
804,314,1839,71,Rejected
805,315,411,78,Offered
806,315,181,85,Applied
807,316,1520,92,Technical Test
808,316,599,80,Offered
809,316,339,98,Applied
810,316,323,70,Technical Test
811,317,154,97,Applied
812,317,653,70,Applied
813,317,1770,90,Rejected
814,318,127,82,Technical Test
815,318,933,80,Technical Test
816,318,718,67,Applied
817,318,1688,78,Technical Test
818,319,159,67,Rejected
819,320,448,95,Rejected
820,321,1561,74,Offered
821,321,323,99,Interviewing
822,321,734,80,Technical Test
823,322,1749,75,Applied
824,323,147,94,Offered
825,323,626,62,Applied
826,323,746,94,Technical Test
827,323,128,83,Applied
828,324,1347,60,Applied
829,324,844,91,Rejected
830,324,1788,95,Interviewing
831,324,1832,65,Offered
832,325,244,69,Offered
833,325,1802,87,Applied
834,325,240,63,Offered
835,326,223,99,Technical Test
836,326,1510,60,Interviewing
837,327,896,63,Offered
838,328,485,88,Offered
839,329,287,87,Offered
840,329,1049,88,Rejected
841,329,760,84,Rejected
842,329,745,77,Rejected
843,330,980,68,Rejected
844,330,1321,73,Applied
845,330,1999,68,Offered
846,331,1364,100,Rejected
847,332,1552,68,Offered
848,332,980,61,Offered
849,333,1241,82,Technical Test
850,333,1001,83,Applied
851,333,529,86,Offered
852,333,2094,78,Rejected
853,334,909,77,Interviewing
854,334,1313,84,Offered
855,334,1487,67,Technical Test
856,335,1246,77,Offered
857,336,479,77,Rejected
858,337,580,64,Rejected
859,338,711,67,Offered
860,339,706,62,Interviewing
861,339,1619,60,Offered
862,340,347,78,Applied
863,340,1442,91,Offered
864,340,1585,88,Applied
865,341,943,60,Rejected
866,342,1913,70,Interviewing
867,342,2052,96,Interviewing
868,343,998,81,Interviewing
869,343,1189,88,Interviewing
870,344,812,86,Technical Test
871,345,1440,62,Interviewing
872,345,1966,100,Interviewing
873,345,1702,78,Technical Test
874,345,1572,99,Offered
875,346,2041,75,Technical Test
876,346,962,96,Technical Test
877,347,671,91,Interviewing
878,347,100,63,Interviewing
879,347,1660,96,Rejected
880,348,463,79,Offered
881,348,606,90,Offered
882,349,1688,78,Applied
883,349,1469,81,Technical Test
884,349,1357,89,Interviewing
885,350,1533,88,Interviewing
886,350,2072,70,Applied
887,351,1254,83,Interviewing
888,351,1442,85,Applied
889,351,1951,69,Offered
890,351,1452,62,Applied
891,352,839,72,Rejected
892,352,1628,68,Technical Test
893,352,265,86,Rejected
894,353,1271,94,Technical Test
895,353,1279,100,Rejected
896,353,596,93,Rejected
897,354,527,61,Offered
898,354,1022,96,Interviewing
899,354,1595,80,Technical Test
900,354,819,75,Applied
901,355,1537,71,Interviewing
902,355,1178,61,Interviewing
903,356,347,68,Offered
904,356,241,66,Offered
905,356,675,73,Technical Test
906,356,331,81,Applied
907,357,505,75,Rejected
908,357,1107,69,Interviewing
909,358,1944,85,Interviewing
910,358,1900,94,Technical Test
911,359,2035,96,Interviewing
912,359,1377,69,Rejected
913,359,1904,80,Offered
914,360,2037,84,Interviewing
915,361,577,65,Rejected
916,361,98,62,Technical Test
917,361,1576,63,Applied
918,361,1326,81,Technical Test
919,362,2033,60,Offered
920,362,673,100,Interviewing
921,363,218,60,Technical Test
922,363,647,74,Offered
923,363,1667,77,Rejected
924,364,1164,97,Rejected
925,365,1343,85,Interviewing
926,366,1625,94,Applied
927,366,2070,91,Interviewing
928,367,921,96,Rejected
929,367,205,100,Interviewing
930,367,1090,91,Technical Test
931,368,886,72,Applied
932,368,83,73,Offered
933,368,2034,86,Technical Test
934,369,1666,60,Interviewing
935,369,136,91,Technical Test
936,369,995,92,Offered
937,369,1584,66,Offered
938,370,1730,78,Interviewing
939,370,526,88,Rejected
940,371,1150,73,Interviewing
941,372,1231,94,Offered
942,373,1470,85,Applied
943,373,2088,60,Rejected
944,374,1235,73,Applied
945,374,1356,72,Interviewing
946,374,1277,95,Applied
947,374,1562,89,Applied
948,375,1679,94,Rejected
949,375,974,73,Applied
950,376,1018,76,Offered
951,376,108,98,Rejected
952,377,1319,66,Technical Test
953,377,1354,79,Technical Test
954,378,754,76,Offered
955,378,418,74,Interviewing
956,378,802,87,Offered
957,378,800,70,Interviewing
958,379,1329,66,Rejected
959,379,407,85,Rejected
960,379,337,85,Offered
961,380,1890,60,Technical Test
962,380,79,96,Rejected
963,381,1929,67,Interviewing
964,381,1610,73,Applied
965,381,518,73,Rejected
966,381,1597,63,Interviewing
967,382,1589,94,Offered
968,382,1355,62,Rejected
969,382,790,81,Applied
970,383,1285,93,Applied
971,383,1559,71,Applied
972,383,1887,96,Applied
973,383,1208,83,Rejected
974,384,1787,99,Applied
975,384,1199,81,Rejected
976,384,60,93,Technical Test
977,384,2100,70,Technical Test
978,385,1950,78,Technical Test
979,385,1045,67,Interviewing
980,386,1461,83,Offered
981,386,349,61,Technical Test
982,387,1251,65,Rejected
983,388,663,61,Interviewing
984,388,1996,69,Offered
985,388,1779,78,Applied
986,388,1309,86,Applied
987,389,915,73,Technical Test
988,389,444,81,Rejected
989,390,1967,90,Rejected
990,390,928,82,Technical Test
991,391,699,63,Interviewing
992,391,1671,77,Interviewing
993,391,322,87,Applied
994,391,1056,64,Rejected
995,392,1405,83,Technical Test
996,392,21,92,Interviewing
997,393,24,98,Interviewing
998,394,258,77,Interviewing
999,394,1950,87,Offered
1000,395,1068,74,Rejected
1001,395,1273,99,Applied
1002,395,424,97,Rejected
1003,395,1174,70,Interviewing
1004,396,2099,93,Applied
1005,396,812,88,Interviewing
1006,396,278,83,Applied
1007,397,1524,91,Applied
1008,397,805,64,Applied
1009,398,1025,67,Applied
1010,399,1277,90,Technical Test
1011,399,920,64,Offered
1012,399,1939,85,Technical Test
1013,399,1804,74,Technical Test
1014,400,672,80,Applied
1015,401,1294,71,Applied
1016,401,1676,67,Rejected
1017,401,533,61,Interviewing
1018,402,42,88,Rejected
1019,402,1642,75,Interviewing
1020,403,1011,87,Interviewing
1021,403,174,70,Offered
1022,403,1331,93,Applied
1023,403,1829,99,Rejected
1024,404,1426,63,Rejected
1025,404,1934,85,Offered
1026,405,1369,99,Interviewing
1027,405,1763,73,Technical Test
1028,406,1808,74,Applied
1029,406,1595,97,Applied
